Month,Values
8,-11.22
8,-114.67
8,-8.47
8,-22.4
8,-2.3
8,-125.76
8,-107.2
8,-0.42
8,-10.35
8,-11.12
8,-70
8,-44.28
8,-108.39
8,-57.2
8,-49.56
8,-2.98
8,-6122.92
8,-1109.4
8,-73.34
8,-2571.96
8,-64.59
8,-45.42
8,33.94
8,-116.9
8,-839.83
8,-17.19
8,-18.69
8,-2.15
8,-191.11
8,-14.11
8,-47.27
8,-113.3
8,-179.4
8,-0.7
8,-17.25
8,-18.54
8,-419
8,-188.33
8,-418.5
8,165
8,-11810
8,-157
8,-499
8,-138
8,-26.57
8,-56.6
8,-12.06
8,-1.79
8,-4412.79
8,-643.75
8,-139.17
8,-1654.61
8,-34.81
8,-46.75
8,-226.6
8,-186
8,-526.73
8,-10.32
8,-11.22
8,-114.67
8,-758.66
8,-13.1
8,-8.47
8,-14.27
8,-1.94
8,-116.24
8,-0.42
8,-10.35
8,-11.12
8,-74
8,-26.57
8,-870.35
8,-1.79
8,-4007.9
8,-538.75
8,66.74
8,-110.01
8,-1354.99
8,-24.56
8,-15.58
8,-189.64
8,-213
8,-516.37
8,-10.32
8,-11.22
8,-114.67
8,-8.47
8,-22.39
8,-20.62
8,-104.96
8,-0.42
8,-10.35
8,-11.12
8,-86
8,-88.56
8,-106.45
8,-65.64
8,-214.2
8,-5.95
8,-14335.42
8,-2538.75
8,-417.51
8,-5196.23
8,-99.98
8,-101.57
8,-689.28
8,-525
8,-1726.47
8,-34.39
8,-37.39
8,-36.51
8,-382.22
8,-468.95
8,-189.94
8,-20.51
8,-28.23
8,-1096.49
8,-540.44
8,-51.62
8,-354.48
8,-1.4
8,-35.43
8,-37.08
8,-455.29
8,-20934.43
8,-4027.82
8,-1411.91
8,-607.28
8,-343803.64
8,745333.33
8,-89
8,-10287.7
8,-6338.17
8,-16.52
8,-67350.97
8,-15251
8,1.15E-14
8,-660.17
8,-34.17
8,-20.84
8,-326.2
8,-702.52
8,-33.49
8,-44665
8,-48952
8,-308
8,-140
8,-736803
8,-443
8,-3252.02
8,-75
8,-15011.51
8,-13517
8,-3160
8,-84
8,-1086.25
8,-32.37
8,-4817
8,-527
8,-35.42
8,-135.79
8,-44.5
8,-20.1
8,-534.69
8,-2.38
8,-9248.82
8,-2792.19
8,183.54
8,-234.16
8,-2881.23
8,-85.03
8,-47.33
8,-892.48
8,-504.28
8,-678.14
8,-13.75
8,-14.96
8,-23.03
8,-152.89
8,-15.24
8,-11.29
8,-1737.28
8,-43.92
8,-152.58
8,-0.56
8,-54.94
8,-14.83
8,-152
8,-132.83
8,-136.1
8,-52.26
8,-8.93
8,-27397.74
8,-6131.07
8,150.17
8,-1053.28
8,-142.39
8,-9885.34
8,-213.18
8,-166.92
8,-2158.14
8,-971.18
8,-622.96
8,-2574.14
8,-51.58
8,-56.08
8,-573.33
8,-639.31
8,-506.82
8,-42.34
8,-33.22
8,-87.31
8,-416.72
8,-2.1
8,-51.74
8,-55.62
8,-7.33
8,-341
8,-97.41
8,-135.79
8,-92.2
8,-48.24
8,-6.55
8,-24487.25
8,-6621.13
8,-985.97
8,-789.96
8,-10723.96
8,-250.9
8,-142.89
8,-870.91
8,-672
8,-316.63
8,-1870.07
8,-37.82
8,-41.13
8,-55.14
8,-420.44
8,-31.05
8,-59.46
8,-91.65
8,-359.16
8,-1.54
8,-37.94
8,-40.79
8,-253
8,-31.72
8,-20648.65
8,-3483.22
8,-32589.62
8,-29.34
8,-56.79
8,-2.91
8,-6
8,-16
8,-53.13
8,-31.5
8,-2628.6
8,-3.57
8,-16369.85
8,-2331.25
8,-1101.51
8,-564.19
8,-6153.3
8,-130.78
8,-140.25
8,-820.6
8,-1090.21
8,-288.3
8,-908.15
8,-20.63
8,-22.43
8,-229.33
8,-36.7
8,-11.2
8,-30.42
8,-430.48
8,-1.82
8,-44.84
8,-48.2
8,-193
8,-44.28
8,-264.3
8,-12.06
8,-2.98
8,-13026.04
8,-1826.25
8,-2092.87
8,-497.48
8,-5285.8
8,-98.5
8,-77.92
8,-642.84
8,-535.83
8,-798.32
8,-17.19
8,-18.69
8,-191.11
8,-25.4
8,-39.21
8,-23
8,-29.35
8,-266.72
8,-1.26
8,-31.05
8,-33.37
8,-107
8,-35.42
8,-1816.05
8,-2.38
8,-8420.79
8,-1252.5
8,84.5
8,-278.51
8,-2819.46
8,-64.24
8,-61.57
8,-440.88
8,-420
8,-641.77
8,-13.75
8,-14.96
8,-152.89
8,-22.3
8,-1.2
8,-358.4
8,-1.11
8,-27.25
8,-29.29
8,-133
8,-2143.03
8,-144.08
8,-45423.61
8,-832.13
8,-904.83
8,-927.32
8,-36.71
8,-970.59
8,-97.41
8,-3203.2
8,-6.55
8,-13732.99
8,-1873.75
8,-357.17
8,-432.53
8,-331.83
8,-4983.76
8,-85.5
8,-124.66
8,-659.56
8,-996.32
8,-1877.8
8,-37.82
8,-41.13
8,-420.44
8,-31.05
8,10
8,-9.86
8,-326.96
8,-1.54
8,-37.94
8,-40.79
8,-188
8,-70.84
8,-2013.4
8,-4.76
8,-8488.41
8,-1145
8,100.11
8,-285.85
8,-2930.34
8,-67.23
8,-93.49
8,-403.04
8,-468
8,-1423.73
8,-27.51
8,-29.91
8,-305.78
8,-19.76
8,-70.41
8,-12.11
8,-228.24
8,-0.98
8,-24.15
8,-25.95
8,-109
8,-106.27
8,-130.35
8,-3105.05
8,-6975
8,-16.08
8,-7.14
8,-29497.56
8,-3192.17
8,-264.81
8,-1119.46
8,-9822.62
8,-217
8,-227.6
8,-1352.12
8,-3502.91
8,-1878.59
8,-41.26
8,-44.87
8,-458.66
8,-52.5
8,-176.39
8,-23
8,-78.91
8,-633.36
8,-2.61
8,-64.16
8,-68.96
8,-297
8,-26.57
8,-43.45
8,-891
8,-1.79
8,-5299.06
8,-402.2
8,133.48
8,-249.18
8,-1473.53
8,-20.14
8,-16.16
8,-375.76
8,-282
8,-332.09
8,-454.07
8,-10.32
8,-11.22
8,-114.67
8,-16.94
8,-16.81
8,6.66
8,-188.96
8,-0.84
8,-20.7
8,-22.25
8,-102
8,-53.13
8,-154.85
8,-20.1
8,-3.57
8,-20956.98
8,-2781.25
8,-550.75
8,-570.82
8,-165.91
8,-8006.96
8,-170.1
8,-50.5
8,-979
8,-631.4
8,-970.45
8,-20.63
8,-22.43
8,-229.33
8,-31.05
8,-71.83
8,-42.88
8,-14478.94
8,-1.54
8,-37.94
8,-40.79
8,-231
8,-581.85
8,-331.69
8,-41.84
8,-4.23
8,-0.45
8,-84
8,-0.21
8,-5.17
8,-5.56
8,-53
8,-712.06
8,-607.42
8,-4458.12
8,-6286.65
8,-556
8,-557.9
8,-387.1
8,-41.52
8,-37.51
8,26691.68
8,-14642.18
8,-2400
8,-329.15
8,630.7
8,-3332.55
8,-38.31
8,-77.92
8,-5154.05
8,2676.3
8,360
8,-75
8,-10843.87
8,-216.63
8,-235.56
8,-92.22
8,-2407.99
8,-100
8,-15.24
8,-14.11
8,447.96
8,-42.56
8,-1470.82
8,-0.7
8,-17.25
8,-18.54
8,-143
8,-1126
8,-10
8,-35.42
8,-39.75
8,-12.06
8,-2.38
8,-5747.63
8,-896.25
8,-263.32
8,-2006.55
8,-41.77
8,-315.48
8,-228
8,-155.83
8,-688.5
8,-13.75
8,-14.96
8,-152.89
8,-11.29
8,-27.08
8,-122.48
8,-0.56
8,-13.8
8,-14.83
8,-80
8,0
8,-17.71
8,-108.39
8,-20.65
8,-16377.07
8,-1.19
8,-5433.65
8,-436.92
8,-77.5
8,-2013.54
8,-66.36
8,-153.79
8,-63
8,-359.82
8,-6.88
8,-7.48
8,-76.44
8,-7.33
8,-5.65
8,-11.69
8,-505.89
8,-31.44
8,-0.28
8,-6.9
8,-7.42
8,-65
8,-159.4
8,-43.4
8,-155.8
8,-56.94
8,-10.72
8,-34401.69
8,-4928.38
8,-1375.39
8,-1163.29
8,-20.87
8,-13127.53
8,-271.56
8,-125.39
8,-1734.79
8,-1128
8,-1144.17
8,-3064.56
8,-61.89
8,-67.3
8,-14.53
8,-688
8,-50.81
8,-33.59
8,-73.83
8,0
8,-457.88
8,-2.52
8,-62.09
8,-66.74
8,-214
8,-626
8,-600
8,-211.2
8,-450
8,-158.4
8,-600
8,-211.2
8,-450
8,-158.4
8,-600
8,-211.2
8,-600
8,-211.2
8,-750
8,-264
8,-750
8,-264
8,-600
8,-211.2
8,-450
8,-158.4
8,-750
8,-264
8,-1050
8,-369.6
8,-900
8,-316.8
8,-1200
8,-422.4
8,-750
8,-264
8,-600
8,-211.2
8,-900
8,-316.8
8,-351.26
8,-1350
8,-475.2
8,-600
8,-211.2
8,-168.25
8,-184.3
8,-8.04
8,-11.31
8,-36157.27
8,-3631.07
8,-2264.22
8,-856.67
8,-1036.98
8,-12759.56
8,-315.56
8,-93.49
8,-1278.14
8,-1943.97
8,403.77
8,-3236.49
8,-65.33
8,-71.04
8,-726.22
8,-50.81
8,-50.4
8,-520.88
8,-2.52
8,-62.09
8,-66.74
8,-885
8,-35.42
8,-47.7
8,-32.16
8,-509.23
8,-2.38
8,-11165.43
8,-8214.1
8,-1719.75
8,-131.66
8,-715.8
8,-8485.46
8,-209.5
8,-31.23
8,2886.02
8,152.73
8,-623.56
8,-13.75
8,-14.96
8,-64.87
8,-152.89
8,-127.44
8,-15.24
8,-11.29
8,-994.55
8,-55.2
8,-255.38
8,-0.56
8,-14.52
8,-14.83
8,-2.9
8,-137
8,-61.99
8,-77.15
8,-24.12
8,-4.17
8,-21780.69
8,-4242.35
8,28.92
8,-394.98
8,-2847.77
8,-9086.78
8,-135.65
8,-74.91
8,-775.31
8,-176.88
8,-1117.58
8,-24.07
8,-26.17
8,-267.55
8,-365.4
8,-15.24
8,-18.35
8,-2041.74
8,0
8,-186.97
8,-269.52
8,-0.91
8,-94.81
8,-24.1
8,-9.6
8,-233
8,-156
8,0
8,-12
8,-150.54
8,-135.79
8,-237.45
8,-12.06
8,-10.12
8,-27677.45
8,-2205.3
8,-1000
8,-878.32
8,-227.82
8,-10400.05
8,-186.06
8,-188.49
8,-776.26
8,-1150.2
8,-2929.31
8,-58.46
8,-63.56
8,-649.77
8,-394.7
8,-47.99
8,-1017.61
8,-46
8,-28.72
8,-532.14
8,-2.38
8,-58.64
8,-63.03
8,-334
8,-12
8,0
8,-0.42
8,-14.15
8,-44.28
8,-244.18
8,-39.75
8,-16.08
8,-2.98
8,-9112.93
8,-1611.82
8,-299.99
8,-683.46
8,-3498.53
8,-20.86
8,-77.92
8,-567.36
8,-84.14
8,-860.61
8,-17.19
8,-18.69
8,-191.11
8,-60.94
8,-12
8,-166.27
8,-14.11
8,-1598.35
8,-147.43
8,-83.04
8,-225.98
8,-0.7
8,-50.38
8,-18.54
8,-155
8,-48
8,0
8,-26.57
8,-31.95
8,-1.79
8,-3046.99
8,-437.99
8,-183.35
8,-1201.54
8,-32.59
8,-154.17
8,-60
8,-563.1
8,-10.32
8,-11.22
8,-114.67
8,-8.47
8,-0.15
8,-32.24
8,-0.42
8,-10.35
8,-11.12
8,-54
8,-208.75
8,0
8,-10.48
8,-120
8,0
8,-168.25
8,-332.6
8,-4.02
8,-11.31
8,-26403.92
8,-2683.04
8,-1000
8,-762.56
8,-10249.57
8,-195.55
8,-152.1
8,-944.43
8,-1230
8,-3257.26
8,-65.33
8,-71.04
8,-726.22
8,-53.63
8,-1380
8,-2990
8,-23
8,-14.98
8,-597.04
8,-2.66
8,-65.54
8,-70.45
8,-337
8,-79.7
8,-152.35
8,-12.06
8,-5.36
8,-16842.81
8,-1828.75
8,-446.67
8,-41.73
8,-6241.58
8,-138.54
8,-93.49
8,-643.72
8,-570
8,-1564.7
8,-30.95
8,-33.65
8,-344
8,-25.4
8,-50.4
8,-46.62
8,-216.96
8,-1.26
8,-31.05
8,-33.37
8,-145
8,-239.1
8,-438.75
8,-12.06
8,-16.08
8,-39418.82
8,-4510.01
8,-1299.26
8,-1209.23
8,-20.87
8,-15164
8,-316.71
8,-266.95
8,-1587.53
8,-1599
8,-316.51
8,-4626.68
8,-92.84
8,-100.95
8,-1032
8,-76.21
8,-128.58
8,-819.28
8,-3.78
8,-93.14
8,-100.11
8,-550
8,0
8,-0.5
8,-96
8,0
8,-132.83
8,-347.95
8,-8.04
8,-8.93
8,-42722.17
8,-4340.2
8,-1476.7
8,-965.8
8,-104.33
8,-16215.8
8,-313.56
8,-102.29
8,-1527.75
8,-1175.83
8,-2341.98
8,-51.58
8,-56.08
8,-573.33
8,-42.34
8,-100.9
8,-487.1
8,-2.1
8,-51.74
8,-55.62
8,-393
8,0
8,-15.24
8,-11.51
8,-8
8,-150.54
8,-216.65
8,-68.91
8,-10.12
8,-31619.68
8,-4299.56
8,-2246.13
8,-1119.11
8,-11877.26
8,-247.98
8,-187.57
8,-1513.44
8,-1054.79
8,-2887.17
8,-58.46
8,-63.56
8,-30.3
8,-649.77
8,-405
8,-47.99
8,-33.62
8,-118.54
8,-588.94
8,-2.38
8,-58.64
8,-63.03
8,-481
8,-168.25
8,-272.65
8,-11.31
8,-41923.29
8,-4260.4
8,-1250.77
8,-14988.28
8,-251.82
8,-187
8,-1499.66
8,-1763.34
8,-3217.4
8,-65.33
8,-71.04
8,-726.22
8,-1125.84
8,-530.2
8,-53.63
8,-359.75
8,-17.99
8,-611.68
8,-2.66
8,-65.54
8,-70.45
8,-19.2
8,-328
8,-106.27
8,-119.4
8,-4.02
8,-7.14
8,-23523.1
8,-2304.22
8,-2406.04
8,-731.64
8,-20.87
8,-9250.37
8,-244.73
8,-100.42
8,-1001.01
8,-133.1
8,-2040.63
8,-41.26
8,-44.87
8,-458.66
8,-33.87
8,-22.4
8,0
8,-30.56
8,-348.16
8,-1.68
8,-41.39
8,-44.49
8,-225
8,-194.82
8,-285.15
8,-64.32
8,-13.1
8,-34133.18
8,-3975.57
8,-1419.1
8,-12340.54
8,-250.45
8,-227.3
8,-885.6
8,-1980.01
8,-3787.52
8,-75.65
8,-82.26
8,-840.89
8,-62.1
8,-396.93
8,-196.54
8,-664.96
8,-3.08
8,-75.89
8,-81.57
8,-443
8,-115.12
8,-135.79
8,-168.1
8,-4.02
8,-7.74
8,-19422.85
8,-3168.84
8,-1306.13
8,-684.99
8,-41.73
8,-7379.46
8,-177.14
8,-62.9
8,-1115.43
8,-827.45
8,413.51
8,-2248.11
8,-44.7
8,-48.61
8,-496.89
8,-36.7
8,-28
8,-53.93
8,-382.96
8,-1.82
8,-44.84
8,-48.2
8,-255
8,-97.41
8,-86.9
8,-240.95
8,-4.02
8,-6.55
8,-15280.23
8,-2307.71
8,-900
8,-475.83
8,-6057.05
8,-93.24
8,-99.2
8,-239.05
8,-1314.01
8,-1737.62
8,-37.82
8,-41.13
8,-420.44
8,-28.23
8,-67.2
8,-8.65
8,-357.58
8,-1.4
8,-34.5
8,-37.08
8,-181
8,-194.82
8,-43.45
8,-1242.15
8,-40.2
8,-13.1
8,-26172.26
8,-3507.18
8,-1839.89
8,-1273.3
8,-227.82
8,-9298.81
8,-209.71
8,-281.06
8,-1395.88
8,-1876.18
8,4.22
8,-3742.61
8,-75.65
8,-82.26
8,-1.58
8,-840.89
8,-62.1
8,-1405.21
8,-141.7
8,-688.28
8,-3.08
8,-75.89
8,-81.57
8,-383
8,-53.13
8,-64.45
8,-28.14
8,-3.57
8,-10898.76
8,-2263.58
8,40.04
8,-365.82
8,-248.69
8,-4100.74
8,-74.27
8,-80.92
8,-796.78
8,-393
8,-621.97
8,-1006.78
8,-20.63
8,-22.43
8,-229.33
8,-528.44
8,-16.94
8,-1617.32
8,-132.97
8,-264.46
8,-0.84
8,-35.89
8,-22.25
8,-168
8,-150.54
8,-43.45
8,-266.6
8,-10.12
8,-25468.1
8,-2976.22
8,-1136.18
8,-922.5
8,-9546.56
8,-215.59
8,-132.77
8,-1047.63
8,-1081.21
8,-2860.74
8,-58.46
8,-63.56
8,-649.77
8,-47.99
8,-399.86
8,-69
8,-9.55
8,-559.44
8,-2.38
8,-58.64
8,-63.03
8,-271
8,-44.28
8,-35.85
8,-4.02
8,-2.98
8,-7199.47
8,-850.15
8,-270.83
8,-2722.24
8,-46.25
8,-18.42
8,-299.25
8,-51
8,-850.21
8,-17.19
8,-18.69
8,-191.11
8,-14.11
8,-35.29
8,-84
8,-0.7
8,-17.25
8,-18.54
8,-79
8,-35.42
8,-44.2
8,-24.12
8,-2.38
8,-8079.14
8,-3476.33
8,-234.16
8,-1414.15
8,-4259.33
8,-147.63
8,-31.17
8,-838.31
8,-225
8,-696.22
8,-13.75
8,-14.96
8,-152.89
8,-1982.05
8,7.4
8,-55.89
8,-11.29
8,-2087.05
8,-64.77
8,-3.6
8,-176.22
8,-0.56
8,-65.54
8,-14.83
8,-7.4
8,-180
8,-159.4
8,-201.3
8,-48.24
8,-10.72
8,-24352.4
8,-5662.12
8,-2778.4
8,-1163.29
8,-9596.76
8,-229.68
8,-168.61
8,-549.19
8,-1260.28
8,-3069.86
8,-61.89
8,-67.3
8,-688
8,-619.29
8,-180
8,-49.4
8,-224
8,-186.17
8,-574.02
8,-2.45
8,-60.37
8,-64.89
8,-356
8,-61.99
8,-84.8
8,-28.14
8,-4.17
8,-13995.82
8,-2243.83
8,-460.81
8,-5138.56
8,-136.44
8,-93.49
8,-789.83
8,-393
8,126.9
8,-1222.94
8,-24.07
8,-26.17
8,-267.55
8,-589.79
8,-362.71
8,-90
8,-19.76
8,-44.79
8,-211.42
8,-0.98
8,-24.15
8,-25.95
8,-9.69
8,-135
8,-168.25
8,-179.8
8,-56.28
8,-11.31
8,-30372.97
8,-5391.47
8,-1353.27
8,-10994.69
8,-244.75
8,-155.83
8,-1897.8
8,-792.08
8,-3200.32
8,-65.33
8,-71.04
8,-157.3
8,-726.22
8,525.92
8,-231.24
8,-210
8,-53.63
8,-974.92
8,-99.77
8,-595.46
8,-2.66
8,-65.54
8,-70.45
8,-5.76
8,-454
8,-150.54
8,-203
8,-12.06
8,-117.6
8,-10.12
8,-20270.41
8,-2728.46
8,-948.75
8,-1012.9
8,-7352.41
8,-133.97
8,-263.68
8,-960.42
8,-958.84
8,315.49
8,-2923.46
8,-58.46
8,-63.56
8,-649.77
8,-45.87
8,-198.38
8,-51.49
8,-472.4
8,-2.28
8,-56.06
8,-60.25
8,-255
8,-106.27
8,-43.45
8,-251.4
8,-32.16
8,-7.14
8,-22974.6
8,-2189.72
8,-881.21
8,-724.13
8,117.31
8,-8136.18
8,-205.49
8,-106.19
8,-1121.11
8,-2183.07
8,274.19
8,-1940.89
8,-41.26
8,-44.87
8,-458.66
8,-33.87
8,-4799.52
8,-2990
8,-58
8,-362.14
8,-1.68
8,-41.39
8,-44.49
8,-278
8,-12
8,57
8,0
8,-15.24
8,-700.75
8,-23
8,14.46
8,-221.39
8,-216.2
8,-92.46
8,-14.88
8,-44903.7
8,-6398.53
8,-660.91
8,-1183.35
8,-643.54
8,-17005.13
8,-361.39
8,-239.72
8,-2252.29
8,-1041.03
8,-4287.55
8,-85.96
8,-93.47
8,-955.55
8,-73.39
8,-140.71
8,-278.81
8,-10.35
8,-812.14
8,-3.64
8,-89.69
8,-96.4
8,-630
8,-203.68
8,-76.89
8,-192.35
8,-20.1
8,-13.69
8,-43043.34
8,-5887.99
8,-1015.83
8,-83.46
8,-16518.7
8,-349.6
8,-240.74
8,-1825.22
8,-1320
8,-375.56
8,-3953.69
8,-79.09
8,-86
8,-879.11
8,-62.1
8,-21
8,-159.49
8,-732.24
8,-3.08
8,-75.89
8,-81.57
8,-483
8,-159.4
8,-43.45
8,-177.15
8,-32.16
8,-10.72
8,-34051.42
8,-4945.85
8,-200
8,-828.32
8,-179.6
8,-12728.25
8,-256.68
8,-161.09
8,-1740.94
8,-1083.82
