Month,Values,CostCarrier,CostElement
8,-2314.53,M-T2B-110028501-01,662202000
8,-879.89,M-T2B-110028501-01,662204000
8,-58.11,M-T2B-110028501-01,664605019
8,-1004.5799999999999,M-T2B-110028502-01,662202000
8,-284.4,M-T2B-110028502-01,662204000
8,-9.6,M-T2B-110028502-01,664605019
8,-354.52,M-T2B-110028739-01,662208000
8,-236.29,M-T2B-110033191-01,662204000
8,-5.96,M-T2B-110033191-01,664605019
8,-19758,M-T2B-110037034-01,664001000
8,-40.64,T2B0000001,610501000
8,-4.470000000000001,T2B0000001,610601000
8,-93.59,T2B0000001,611601000
8,-36.05,T2B0000001,612205000
8,-2.7299999999999995,T2B0000001,613101000
8,-41797.520000000004,T2B0000001,640301000
8,-35708.54999999998,T2B0000001,640302000
8,-160.57,T2B0000001,640304000
8,-164.67000000000007,T2B0000001,640312000
8,-7043.470000000001,T2B0000001,640606000
8,-8087.200000000001,T2B0000001,640901000
8,-404.74,T2B0000001,640901011
8,-117.89999999999999,T2B0000001,640901012
8,4076.06,T2B0000001,640901013
8,-87.18,T2B0000001,641601000
8,-800.6400000000001,T2B0000001,660801000
8,-866.0799999999995,T2B0000001,661001000
8,-15.78,T2B0000001,661201000
8,-17.15,T2B0000001,661202000
8,-270.06,T2B0000001,661301000
8,-175.42000000000002,T2B0000001,661402000
8,-142.39000000000004,T2B0000001,661701000
8,-170.26999999999998,T2B0000001,661701004
8,76.29000000000002,T2B0000001,662101000
8,-768.5699999999999,T2B0000001,662102002
8,-443.2799999999999,T2B0000001,662204000
8,-606.4600000000002,T2B0000001,662208000
8,-12.89,T2B0000001,662212000
8,-984.6299999999999,T2B0000001,662213000
8,-6739.160000000001,T2B0000001,662608000
8,-281.65,T2B0000001,663701000
8,353.88,T2B0000001,663902006
8,-0.13,T2B0000001,663903000
8,-202.35999999999996,T2B0000001,664001000
8,-0.6399999999999999,T2B0000001,664101000
8,-68.46,T2B0000001,664104000
8,-16.93,T2B0000001,664201000
8,3961.590000000001,T2B0000001,664605000
8,-0.27,T2B0000001,664605019
8,-46.95,T2B0000001,664804000
8,-567.47,T2B0000001,710516000
8,-49.010000000000005,T2B0000001,710520000
8,-66.73,T2B0000002,610501000
8,-102.1,T2B0000002,610601000
8,-68.58000000000001,T2B0000002,611601000
8,-30.289999999999996,T2B0000002,612205000
8,-4.4799999999999995,T2B0000002,613101000
8,-19722.010000000006,T2B0000002,640301000
8,-3241.82,T2B0000002,640302000
8,-3673.13,T2B0000002,640304000
8,-248.04999999999993,T2B0000002,640312000
8,-1531.7600000000002,T2B0000002,640606000
8,-5596.82,T2B0000002,640901000
8,-160.52,T2B0000002,640901011
8,-73.4,T2B0000002,640901012
8,-625.8600000000001,T2B0000002,640901013
8,-240.21,T2B0000002,641601000
8,-1287.37,T2B0000002,660801000
8,-306.31,T2B0000002,661001000
8,-25.91,T2B0000002,661201000
8,-28.18,T2B0000002,661202000
8,-30.240000000000002,T2B0000002,661301000
8,-288.03999999999996,T2B0000002,661402000
8,1745.1100000000004,T2B0000002,662101000
8,-526.3100000000001,T2B0000002,662204000
8,-491.62,T2B0000002,662208000
8,-19.68,T2B0000002,662212000
8,-126.61,T2B0000002,662213000
8,-5851.989999999999,T2B0000002,662608000
8,-119.49000000000001,T2B0000002,663701000
8,-121.38,T2B0000002,663902006
8,-2.8699999999999997,T2B0000002,663903000
8,-1357.5500000000002,T2B0000002,664001000
8,-0.98,T2B0000002,664101000
8,-44.25,T2B0000002,664104000
8,-25.85,T2B0000002,664201000
8,2670.57,T2B0000002,664605000
8,-6.1000000000000005,T2B0000002,664605019
8,-1073.88,T2B0000002,664804000
8,-247.75,T2B0000002,710516000
8,-32.97,T2B0000002,710520000
8,-17.71,T2B0000003,610501000
8,-15.9,T2B0000003,611601000
8,-12.06,T2B0000003,612205000
8,-1.19,T2B0000003,613101000
8,-2981.92,T2B0000003,640301000
8,-490.7600000000002,T2B0000003,640302000
8,-131.66,T2B0000003,640312000
8,-1023.6999999999999,T2B0000003,640901000
8,-14.149999999999999,T2B0000003,640901011
8,-31.17,T2B0000003,640901012
8,-172.75,T2B0000003,640901013
8,-114,T2B0000003,641601000
8,-328.67,T2B0000003,660801000
8,-6.88,T2B0000003,661201000
8,-7.48,T2B0000003,661202000
8,-13.219999999999999,T2B0000003,661301000
8,-76.44,T2B0000003,661402000
8,-1690,T2B0000003,662101000
8,-29.1,T2B0000003,662204000
8,-5.65,T2B0000003,662212000
8,-94.22999999999999,T2B0000003,662213000
8,-19.91,T2B0000003,663701000
8,-67.66000000000001,T2B0000003,664001000
8,-0.28,T2B0000003,664101000
8,-6.9,T2B0000003,664104000
8,-7.42,T2B0000003,664201000
8,-59,T2B0000003,710516000
8,-44.28,T2B0000004,610501000
8,-517.05,T2B0000004,610601002
8,-47.7,T2B0000004,611601000
8,-36.18,T2B0000004,612205000
8,-2.98,T2B0000004,613101000
8,-17688.789999999997,T2B0000004,640301000
8,645.3600000000006,T2B0000004,640302000
8,183.54,T2B0000004,640304000
8,-263.32,T2B0000004,640312000
8,-569.56,T2B0000004,640606000
8,-7052.46,T2B0000004,640901000
8,-100.51000000000002,T2B0000004,640901011
8,-22.519999999999996,T2B0000004,640901012
8,795.2600000000009,T2B0000004,640901013
8,-270,T2B0000004,641601000
8,-876.2,T2B0000004,660801000
8,-479.97,T2B0000004,661001000
8,-17.19,T2B0000004,661201000
8,-18.69,T2B0000004,661202000
8,-64.59,T2B0000004,661301000
8,-8.8,T2B0000004,661302000
8,-191.11,T2B0000004,661402000
8,-123.49,T2B0000004,662204000
8,-12.7,T2B0000004,662212000
8,-2006.3899999999999,T2B0000004,662213000
8,-98.42999999999999,T2B0000004,663701000
8,-244.94,T2B0000004,664001000
8,-0.63,T2B0000004,664101000
8,-74.05,T2B0000004,664104000
8,-16.68,T2B0000004,664201000
8,-3.61,T2B0000004,664605019
8,-202,T2B0000004,710516000
8,-16.6,T2B0000005,610501000
8,-1.82,T2B0000005,610601000
8,-38.23,T2B0000005,611601000
8,-14.72,T2B0000005,612205000
8,-3600,T2B0000005,612809014
8,-1.12,T2B0000005,613101000
8,-17072.23,T2B0000005,640301000
8,-15530.47,T2B0000005,640302000
8,-65.59,T2B0000005,640304000
8,-67.26,T2B0000005,640312000
8,-2876.91,T2B0000005,640606000
8,-3303.22,T2B0000005,640901000
8,-165.32,T2B0000005,640901011
8,-48.15,T2B0000005,640901012
8,1503.83,T2B0000005,640901013
8,-35.61,T2B0000005,641601000
8,-60,T2B0000005,660304003
8,-327.02,T2B0000005,660801000
8,-353.75,T2B0000005,661001000
8,-6.45,T2B0000005,661201000
8,-7.01,T2B0000005,661202000
8,-110.3,T2B0000005,661301000
8,-71.65,T2B0000005,661402000
8,-58.16,T2B0000005,661701000
8,-69.55,T2B0000005,661701004
8,31.16,T2B0000005,662101000
8,-313.93,T2B0000005,662102002
8,-181.06,T2B0000005,662204000
8,-623.71,T2B0000005,662208000
8,-5.26,T2B0000005,662212000
8,-402.17,T2B0000005,662213000
8,-224.17,T2B0000005,662606000
8,-2752.62,T2B0000005,662608000
8,-115.04,T2B0000005,663701000
8,144.54,T2B0000005,663902006
8,-0.05,T2B0000005,663903000
8,-82.65,T2B0000005,664001000
8,-0.26,T2B0000005,664101000
8,-27.96,T2B0000005,664104000
8,-6.91,T2B0000005,664201000
8,1618.11,T2B0000005,664605000
8,-0.11,T2B0000005,664605019
8,-19.17,T2B0000005,664804000
8,-231.78,T2B0000005,710516000
8,-20.02,T2B0000005,710520000
8,-88.56,T2B0000006,610501000
8,-2899.35,T2B0000006,611601000
8,-24.12,T2B0000006,612205000
8,-5.95,T2B0000006,613101000
8,-17373.690000000006,T2B0000006,640301000
8,-3025,T2B0000006,640302000
8,-439.16,T2B0000006,640312000
8,-284.77,T2B0000006,640606000
8,-6493.92,T2B0000006,640901000
8,-114.86,T2B0000006,640901011
8,-109.08,T2B0000006,640901012
8,-779.9399999999996,T2B0000006,640901013
8,-600,T2B0000006,641601000
8,-1736.83,T2B0000006,660801000
8,-34.39,T2B0000006,661201000
8,-37.39,T2B0000006,661202000
8,-382.22,T2B0000006,661402000
8,0,T2B0000006,662202000
8,-26.82,T2B0000006,662212000
8,-1507.4799999999998,T2B0000006,662213000
8,-53.529999999999994,T2B0000006,663701000
8,-29.08,T2B0000006,663904000
8,-367.68,T2B0000006,664001000
8,-1.33,T2B0000006,664101000
8,-66.93,T2B0000006,664104000
8,-35.22,T2B0000006,664201000
8,-251,T2B0000006,710516000
8,-17.71,T2B0000007,610501000
8,-15.9,T2B0000007,611601000
8,-8.04,T2B0000007,612205000
8,-1.19,T2B0000007,613101000
8,-7499.130000000001,T2B0000007,640301000
8,-1760,T2B0000007,640302000
8,-102.5,T2B0000007,640312000
8,-2949.1400000000003,T2B0000007,640901000
8,-27.120000000000005,T2B0000007,640901011
8,-31.17,T2B0000007,640901012
8,-304.4499999999998,T2B0000007,640901013
8,-861.39,T2B0000007,641601000
8,-344.25,T2B0000007,660801000
8,-457.28,T2B0000007,661001000
8,-6.88,T2B0000007,661201000
8,-7.48,T2B0000007,661202000
8,-67.35,T2B0000007,661301000
8,-76.44,T2B0000007,661402000
8,-5.65,T2B0000007,662212000
8,-911.2,T2B0000007,662213000
8,-18.320000000000004,T2B0000007,663701000
8,-60.24000000000001,T2B0000007,664001000
8,-0.28,T2B0000007,664101000
8,-37.65,T2B0000007,664104000
8,-7.42,T2B0000007,664201000
8,-40,T2B0000007,710516000
8,-88.56,T2B0000008,610501000
8,-2365.05,T2B0000008,611601000
8,-44.22,T2B0000008,612205000
8,-5.95,T2B0000008,613101000
8,-22971.289999999997,T2B0000008,640301000
8,-3785,T2B0000008,640302000
8,-631.97,T2B0000008,640312000
8,-8534.31,T2B0000008,640901000
8,-156.15999999999997,T2B0000008,640901011
8,-93.49000000000001,T2B0000008,640901012
8,-1015.4800000000005,T2B0000008,640901013
8,-1111.33,T2B0000008,641601000
8,-1723.8,T2B0000008,660801000
8,-483.59,T2B0000008,661001000
8,-34.39,T2B0000008,661201000
8,-37.39,T2B0000008,661202000
8,-99.46,T2B0000008,661301000
8,-382.22,T2B0000008,661402000
8,-13.17,T2B0000008,661701004
8,-27.1,T2B0000008,662212000
8,-1260.03,T2B0000008,662213000
8,-23,T2B0000008,662602000
8,-79.83,T2B0000008,663701000
8,-290.48,T2B0000008,664001000
