Month,Values,CostCarrier,CostElement
4,-149.66,T2B0000004,664001000
4,-18.72,T2B0000004,664104000
4,2.1,T2B0000004,664201000
4,-157,T2B0000004,710516000
4,-1.36,T2B0000005,610001000
4,-22.13,T2B0000005,610501000
4,-71.54,T2B0000005,610601000
4,-15.43,T2B0000005,611601000
4,-14.79,T2B0000005,612205000
4,-1.08,T2B0000005,613101000
4,-14623.53,T2B0000005,640301000
4,-5848.15,T2B0000005,640302000
4,-110.46,T2B0000005,640312000
4,-6699.57,T2B0000005,640322000
4,-4336.19,T2B0000005,640606000
4,-3047.2,T2B0000005,640901000
4,-190.74,T2B0000005,640901011
4,-56.41,T2B0000005,640901012
4,-880.93,T2B0000005,640901013
4,-78.46,T2B0000005,641601000
4,-615,T2B0000005,660304003
4,0,T2B0000005,660304004
4,-19000,T2B0000005,660503000
4,-450.17,T2B0000005,660801000
4,-953.3,T2B0000005,661001000
4,-7.64,T2B0000005,661201000
4,-15.82,T2B0000005,661202000
4,-166.03,T2B0000005,661301000
4,-39.86,T2B0000005,661302000
4,-92.74,T2B0000005,661402000
4,-14.87,T2B0000005,661701004
4,-36.09,T2B0000005,661701005
4,-17.53,T2B0000005,662101000
4,-94.89,T2B0000005,662102002
4,-49.13,T2B0000005,662202000
4,-838.54,T2B0000005,662204000
4,-72.15,T2B0000005,662208000
4,-10.64,T2B0000005,662212000
4,-182.07,T2B0000005,662213000
4,-49.98,T2B0000005,662501000
4,-1839.05,T2B0000005,662608000
4,-72.96,T2B0000005,663701000
4,-50.25,T2B0000005,663902006
4,-4.75,T2B0000005,663904000
4,-55.89,T2B0000005,664001000
4,-99.77,T2B0000005,664103000
4,6.84,T2B0000005,664104000
4,1.04,T2B0000005,664201000
4,-4.76,T2B0000005,664501000
4,-124.26,T2B0000005,664605000
4,-53.7,T2B0000005,664605019
4,-232.8,T2B0000005,710516000
4,-28.49,T2B0000005,710520000
4,-89.54,T2B0000006,610501000
4,-2890.15,T2B0000006,611601000
4,-28.14,T2B0000006,612205000
4,-4.36,T2B0000006,613101000
4,-17019.610000000004,T2B0000006,640301000
4,-2935,T2B0000006,640302000
4,-475.8299999999999,T2B0000006,640312000
4,-299.73,T2B0000006,640606000
4,-6159.85,T2B0000006,640901000
4,-156.24,T2B0000006,640901011
4,-120.78999999999999,T2B0000006,640901012
4,-843.96,T2B0000006,640901013
4,-405.4799999999999,T2B0000006,641601000
4,-1781.87,T2B0000006,660801000
4,-30.93,T2B0000006,661201000
4,-64.01,T2B0000006,661202000
4,-375.24,T2B0000006,661402000
4,0,T2B0000006,662202000
4,-62.25,T2B0000006,662208000
4,-43.21,T2B0000006,662212000
4,-283.99,T2B0000006,662213000
4,-47.379999999999995,T2B0000006,663701000
4,-324.16,T2B0000006,664001000
4,42.46999999999999,T2B0000006,664104000
4,4.21,T2B0000006,664201000
4,-168,T2B0000006,710516000
4,-17.91,T2B0000007,610501000
4,-15.9,T2B0000007,611601000
4,-8.04,T2B0000007,612205000
4,-0.87,T2B0000007,613101000
4,-6293.29,T2B0000007,640301000
4,-1688.75,T2B0000007,640302000
4,-102.5,T2B0000007,640312000
4,-2335.7300000000005,T2B0000007,640901000
4,-66.38,T2B0000007,640901011
4,-30.24,T2B0000007,640901012
4,-374.78,T2B0000007,640901013
4,-835.8800000000001,T2B0000007,641601000
4,-353.26,T2B0000007,660801000
