Month,Values,CostCarrier,CostElement
12,-0.28,T2B0000003,664101000
12,-5.19,T2B0000003,664104000
12,-40,T2B0000003,710516000
12,-80.61,T2B0000004,610501000
12,-108.39,T2B0000004,610601000
12,-31.8,T2B0000004,611601000
12,-2.58,T2B0000004,613101000
12,-43708.01,T2B0000004,640301000
12,14880.310000000001,T2B0000004,640302000
12,-600,T2B0000004,640304000
12,-197.49,T2B0000004,640312000
12,-679.46,T2B0000004,640606000
12,-7804.009999999999,T2B0000004,640901000
12,-306.70000000000005,T2B0000004,640901011
12,-2.6999999999999993,T2B0000004,640901012
12,-139.47999999999956,T2B0000004,640901013
12,-117.19,T2B0000004,641601000
12,-953.06,T2B0000004,660801000
12,-479.97,T2B0000004,661001000
12,-17.08,T2B0000004,661201000
12,-23.92,T2B0000004,661202000
12,-34.4,T2B0000004,661301000
12,-452.39,T2B0000004,661402000
12,-178.7,T2B0000004,662204000
12,-1000,T2B0000004,662208000
12,-12.72,T2B0000004,662212000
12,-150,T2B0000004,662213000
12,-102.82,T2B0000004,663701000
12,-169.36999999999998,T2B0000004,664001000
12,-0.62,T2B0000004,664101000
12,-699.6899999999999,T2B0000004,664104000
12,-22.99,T2B0000004,664402000
12,-163,T2B0000004,710516000
12,-69.04,T2B0000005,610001000
12,-30.49,T2B0000005,610501000
12,-1.64,T2B0000005,610601002
12,-51.84,T2B0000005,611601000
12,170.62,T2B0000005,612809015
12,-0.98,T2B0000005,613101000
12,-13246.72,T2B0000005,640301000
12,-7674.75,T2B0000005,640302000
12,-5377.82,T2B0000005,640304000
12,-93.64,T2B0000005,640312000
12,-343.64,T2B0000005,640319000
12,-9299.38,T2B0000005,640322000
12,-2127.72,T2B0000005,640606000
12,-4571.45,T2B0000005,640901000
12,-166.34,T2B0000005,640901011
12,-46.88,T2B0000005,640901012
12,66.55,T2B0000005,640901013
12,-155.98,T2B0000005,641601000
12,-6.94,T2B0000005,641602000
12,-9.99,T2B0000005,660304003
12,-44.11,T2B0000005,660304004
12,-81.78,T2B0000005,660503000
12,-13.16,T2B0000005,660608000
12,-359.27,T2B0000005,660801000
12,-1098.49,T2B0000005,661001000
12,-6.46,T2B0000005,661201000
12,-9.05,T2B0000005,661202000
12,-72.79,T2B0000005,661301000
12,-57.04,T2B0000005,661302000
12,-171.13,T2B0000005,661402000
12,-19.07,T2B0000005,661701000
12,-26.71,T2B0000005,661701004
12,-29.54,T2B0000005,662101000
12,-58,T2B0000005,662102002
12,-105.32,T2B0000005,662201000
12,-65.55,T2B0000005,662202000
12,-112.73,T2B0000005,662204000
12,-3382.51,T2B0000005,662208000
12,-5.34,T2B0000005,662212000
12,-226.77,T2B0000005,662213000
12,-0.77,T2B0000005,662602000
12,-2500,T2B0000005,662606000
12,-1280.28,T2B0000005,662608000
12,-68.79,T2B0000005,663701000
12,-17.65,T2B0000005,663902006
12,-186.33,T2B0000005,663903000
12,-231.55,T2B0000005,664001000
12,-0.26,T2B0000005,664101000
12,-381.35,T2B0000005,664104000
12,-4.06,T2B0000005,664201000
12,-39.15,T2B0000005,664402000
12,-1298.76,T2B0000005,664605000
12,-1.75,T2B0000005,664605019
12,-4.84,T2B0000005,664605020
12,-19.17,T2B0000005,664804000
12,-160.27,T2B0000005,710516000
12,-11.31,T2B0000005,710520000
12,-161.22,T2B0000006,610501000
12,-2893.1499999999996,T2B0000006,611601000
12,0,T2B0000006,612809000
12,-5.17,T2B0000006,613101000
12,-19514.62,T2B0000006,640301000
12,911.9400000000014,T2B0000006,640302000
12,-1228.06,T2B0000006,640304000
12,-475.8299999999999,T2B0000006,640312000
12,-464.06999999999994,T2B0000006,640606000
12,-7274.079999999999,T2B0000006,640901000
12,-161.98,T2B0000006,640901011
12,-115.68,T2B0000006,640901012
12,625.7999999999993,T2B0000006,640901013
12,-473.66,T2B0000006,641601000
12,-1890.57,T2B0000006,660801000
12,-34.15,T2B0000006,661201000
12,-47.84,T2B0000006,661202000
12,-904.77,T2B0000006,661402000
12,0,T2B0000006,662202000
12,-39.8,T2B0000006,662204000
12,0,T2B0000006,662204001
12,-299.54,T2B0000006,662208000
12,-28.27,T2B0000006,662212000
12,-290.40000000000003,T2B0000006,662213000
12,-39.65,T2B0000006,663701000
12,-402.09,T2B0000006,664001000
12,-1.39,T2B0000006,664101000
12,-417.76,T2B0000006,664104000
12,-227,T2B0000006,710516000
12,-32.24,T2B0000007,610501000
12,-15.9,T2B0000007,611601000
12,-1.03,T2B0000007,613101000
12,-7892.51,T2B0000007,640301000
12,-330.8199999999997,T2B0000007,640302000
12,-400,T2B0000007,640304000
12,-102.5,T2B0000007,640312000
12,-2956.020000000001,T2B0000007,640901000
12,-30.900000000000006,T2B0000007,640901011
12,-28.92,T2B0000007,640901012
12,200.54000000000087,T2B0000007,640901013
12,-101.44,T2B0000007,641601000
12,-374.99,T2B0000007,660801000
12,-457.35,T2B0000007,661001000
12,-6.83,T2B0000007,661201000
12,-9.57,T2B0000007,661202000
12,-30.09,T2B0000007,661301000
12,-8,T2B0000007,661302000
12,-180.95,T2B0000007,661402000
12,-24.47,T2B0000007,661701004
12,-5.65,T2B0000007,662212000
12,-5.61,T2B0000007,662213000
12,-14.3,T2B0000007,663701000
12,-61.86000000000001,T2B0000007,664001000
12,-0.28,T2B0000007,664101000
12,-407.38,T2B0000007,664104000
12,-55,T2B0000007,710516000
12,-177.34,T2B0000008,610501000
12,-2316.25,T2B0000008,611601000
12,-5.68,T2B0000008,613101000
12,-23757.4,T2B0000008,640301000
12,278.3899999999976,T2B0000008,640302000
12,-2474.12,T2B0000008,640304000
12,-631.9699999999998,T2B0000008,640312000
12,-9648.999999999998,T2B0000008,640901000
12,-201.76000000000002,T2B0000008,640901011
12,-86.75999999999999,T2B0000008,640901012
12,416.10999999999876,T2B0000008,640901013
12,-600.3800000000001,T2B0000008,641601000
12,-2080.62,T2B0000008,660801000
12,-483.59,T2B0000008,661001000
12,-37.57,T2B0000008,661201000
12,-52.62,T2B0000008,661202000
12,-25.55,T2B0000008,661301000
12,-114.9,T2B0000008,661302000
12,-995.25,T2B0000008,661402000
12,-22.24,T2B0000008,661701004
12,-643.7399999999999,T2B0000008,662208000
12,-29.96,T2B0000008,662212000
12,-194.79999999999998,T2B0000008,662213000
12,-79.78000000000002,T2B0000008,663701000
12,-102.95,T2B0000008,663903000
12,-326.69000000000005,T2B0000008,664001000
12,-1.47,T2B0000008,664101000
12,-409.15999999999997,T2B0000008,664104000
12,-261.03,T2B0000008,710516000
12,-6,T2B0000008,710520000
12,-835.35,T2B0000009,662101000
12,19.92,T2B0000009,664201000
12,-0.34,T2B0000009,664609000
12,-228,T2B0000010,662101000
12,-112.85,T2B0000011,610501000
12,-672.5,T2B0000011,611601000
12,-3.62,T2B0000011,613101000
12,-33482.890000000014,T2B0000011,640301000
12,3658.2100000000087,T2B0000011,640302000
12,-3385.54,T2B0000011,640304000
12,-855.79,T2B0000011,640312000
12,-12560.35,T2B0000011,640901000
12,-321.91,T2B0000011,640901011
12,-183.2,T2B0000011,640901012
12,521.8400000000001,T2B0000011,640901013
12,-1178.19,T2B0000011,641601000
12,84.19999999999999,T2B0000011,641602000
12,-1234.6300000000003,T2B0000011,660801000
12,-23.91,T2B0000011,661201000
12,-33.49,T2B0000011,661202000
12,-633.34,T2B0000011,661402000
12,86.27,T2B0000011,662202000
12,-478.93,T2B0000011,662208000
12,-50.88,T2B0000011,662212000
12,-807.41,T2B0000011,662213000
12,-23,T2B0000011,662602000
12,-120.69999999999999,T2B0000011,663701000
12,-640.5400000000001,T2B0000011,664001000
12,-2.5,T2B0000011,664101000
12,-46.74,T2B0000011,664104000
12,-340,T2B0000011,710516000
12,-128.98,T2B0000013,610501000
12,-13.2,T2B0000013,610601000
12,-375.95,T2B0000013,611601000
12,-4.13,T2B0000013,613101000
12,-28141.120000000003,T2B0000013,640301000
12,-437.4200000000069,T2B0000013,640302000
12,-2600,T2B0000013,640304000
12,-629.1399999999999,T2B0000013,640312000
12,-254.69,T2B0000013,640606000
12,-10883.890000000001,T2B0000013,640901000
12,-247.18,T2B0000013,640901011
12,-115.68,T2B0000013,640901012
12,897.3199999999997,T2B0000013,640901013
12,-186.41000000000003,T2B0000013,641601000
12,-1484.4199999999998,T2B0000013,660801000
12,-457.35,T2B0000013,661001000
12,-27.32,T2B0000013,661201000
12,-38.27,T2B0000013,661202000
12,-32.74,T2B0000013,661301000
12,-723.82,T2B0000013,661402000
12,-480.15,T2B0000013,662208000
12,-29.68,T2B0000013,662212000
12,-761.0699999999999,T2B0000013,662213000
12,-224.82,T2B0000013,663701000
12,-20,T2B0000013,663903000
12,-5211.629999999999,T2B0000013,664001000
12,-1.46,T2B0000013,664101000
12,-238.55999999999997,T2B0000013,664104000
12,-237,T2B0000013,710516000
12,-778,T2B0000013,711401000
12,-112.85,T2B0000015,610501000
12,-74.25,T2B0000015,611601000
12,-3.62,T2B0000015,613101000
12,-27841.69,T2B0000015,640301000
12,-3595.060000000005,T2B0000015,640302000
12,-1900,T2B0000015,640304000
12,-431.6600000000001,T2B0000015,640312000
12,-519.32,T2B0000015,640606000
12,-8916.220000000001,T2B0000015,640901000
12,-202.6,T2B0000015,640901011
12,-26.98,T2B0000015,640901012
12,542.7400000000016,T2B0000015,640901013
12,-393.78000000000003,T2B0000015,641601000
12,-1364.45,T2B0000015,660801000
12,-1112.24,T2B0000015,661001000
12,-23.91,T2B0000015,661201000
12,-33.49,T2B0000015,661202000
12,-77.25,T2B0000015,661301000
12,-113.17,T2B0000015,661302000
12,-633.34,T2B0000015,661402000
12,-164.42,T2B0000015,661701000
12,-409.97,T2B0000015,661701004
12,-109.61,T2B0000015,662204000
12,-713.9300000000001,T2B0000015,662208000
12,-19.79,T2B0000015,662212000
12,-59.79,T2B0000015,662213000
12,-23,T2B0000015,662602000
12,-112,T2B0000015,663701000
12,-321.77,T2B0000015,664001000
12,-0.97,T2B0000015,664101000
12,0,T2B0000015,664103000
12,-2237.78,T2B0000015,664104000
12,-118.4,T2B0000015,664402000
12,-671,T2B0000015,710516000
12,-0.00999999999839929,T2B0000017,663905000
12,-60,T2B0000017,710501000
12,-4,T2B0000017,710516000
12,9.094947017729282e-13,T2B0000019,662212000
12,-5317.82,T2B0000020,640301000
12,-1871.8700000000001,T2B0000020,640901000
12,7561.180000000001,T2B0000020,662213000
12,-161.22,T2B0000021,610501000
12,-219.0499999999999,T2B0000021,611601000
12,-5.17,T2B0000021,613101000
12,-30389.579999999998,T2B0000021,640301000
12,61.939999999999145,T2B0000021,640302000
12,2734.38,T2B0000021,640304000
12,-658.2999999999997,T2B0000021,640312000
12,-10301.569999999998,T2B0000021,640901000
12,-250.26,T2B0000021,640901011
12,-86.76,T2B0000021,640901012
12,633.3099999999995,T2B0000021,640901013
12,-383.7500000000001,T2B0000021,641601000
12,-1859.3600000000001,T2B0000021,660801000
12,-34.15,T2B0000021,661201000
12,-47.84,T2B0000021,661202000
12,-904.77,T2B0000021,661402000
12,-2791.9900000000002,T2B0000021,662202000
12,-1612.42,T2B0000021,662204000
12,-28.27,T2B0000021,662212000
12,-61.000000000000014,T2B0000021,663701000
12,-377.09,T2B0000021,664001000
12,-1.39,T2B0000021,664101000
12,-25.97,T2B0000021,664104000
12,-31.34,T2B0000021,664605019
12,-236,T2B0000021,710516000
12,-225.71,T2B0000023,610501000
12,-153.95,T2B0000023,611601000
12,-7.23,T2B0000023,613101000
12,-13835.890000000003,T2B0000023,640301000
12,1534.7000000000005,T2B0000023,640302000
12,-4188.33,T2B0000023,640304000
12,-673.3299999999999,T2B0000023,640312000
12,906.24,T2B0000023,640606000
12,-5680.55,T2B0000023,640901000
12,-193.09000000000003,T2B0000023,640901011
12,-135.12,T2B0000023,640901012
12,774.2800000000007,T2B0000023,640901013
12,-387.3900000000001,T2B0000023,641601000
12,-364.42,T2B0000023,641602000
12,-2658.79,T2B0000023,660801000
12,-47.82,T2B0000023,661201000
12,-66.97,T2B0000023,661202000
12,-1266.68,T2B0000023,661402000
12,-39.57,T2B0000023,662212000
12,-795.2900000000001,T2B0000023,662213000
12,-23,T2B0000023,662602000
12,-103.08,T2B0000023,663701000
12,-34.62,T2B0000023,663904000
12,-586.58,T2B0000023,664001000
12,-1.94,T2B0000023,664101000
12,-36.35,T2B0000023,664104000
12,-367,T2B0000023,710516000
12,-64.49,T2B0000024,610501000
12,-108.39,T2B0000024,610601000
12,-31.8,T2B0000024,611601000
12,-2.07,T2B0000024,613101000
12,-4429.709999999999,T2B0000024,640301000
12,343.68999999999977,T2B0000024,640302000
12,-44.920000000000016,T2B0000024,640304000
12,-146.67999999999995,T2B0000024,640312000
12,-2101.38,T2B0000024,640901000
12,-55.09,T2B0000024,640901011
12,-43.38,T2B0000024,640901012
12,567.6600000000001,T2B0000024,640901013
12,-246.98,T2B0000024,641601000
12,-765.5899999999999,T2B0000024,660801000
12,-13.66,T2B0000024,661201000
12,-19.14,T2B0000024,661202000
12,-361.91,T2B0000024,661402000
12,-11.31,T2B0000024,662212000
12,-10.14,T2B0000024,662213000
12,-2.7399999999999993,T2B0000024,663701000
12,-11.5,T2B0000024,663903000
12,-123.72000000000001,T2B0000024,664001000
12,-0.55,T2B0000024,664101000
12,-10.39,T2B0000024,664104000
12,-89,T2B0000024,710516000
12,-112.85,T2B0000025,610501000
12,-5.17,T2B0000025,610601000
12,-66.6,T2B0000025,611601000
12,-768.65,T2B0000025,612809000
12,-3.62,T2B0000025,613101000
12,-5734.939999999999,T2B0000025,640301000
12,599.2300000000009,T2B0000025,640302000
12,-1684.37,T2B0000025,640304000
12,-220,T2B0000025,640312000
12,-2691.4999999999986,T2B0000025,640901000
12,-115.16,T2B0000025,640901011
12,-44.6,T2B0000025,640901012
12,210.92000000000098,T2B0000025,640901013
12,-409.78999999999996,T2B0000025,641601000
12,-1322.86,T2B0000025,660801000
12,-23.91,T2B0000025,661201000
12,-33.49,T2B0000025,661202000
12,-633.34,T2B0000025,661402000
12,-51.97,T2B0000025,662208000
12,-19.79,T2B0000025,662212000
12,-74.33,T2B0000025,662213000
12,-23,T2B0000025,662602000
12,-38.949999999999996,T2B0000025,663701000
12,-225.11,T2B0000025,664001000
12,-0.97,T2B0000025,664101000
12,-18.18,T2B0000025,664104000
12,-10.48,T2B0000025,664402000
12,-350,T2B0000025,710516000
12,-408,T2B0000026,612809000
12,-2316,T2B0000026,660304004
12,-6670,T2B0000026,660503000
12,-1668,T2B0000026,663101000
12,0,T2B0000026,663902000
12,-372,T2B0000026,663903000
12,-170,T2B0000026,710501000
12,-649.25,T2B0000026,710516000
12,-2277.74,T2B0000026,710520000
12,-48.37,T2B0000028,610501000
12,-108.39,T2B0000028,610601000
12,-23.85,T2B0000028,611601000
12,-1.55,T2B0000028,613101000
12,-2847.5499999999993,T2B0000028,640301000
12,-38.389999999999816,T2B0000028,640302000
12,171.94000000000005,T2B0000028,640304000
12,-102.5,T2B0000028,640312000
12,-1050.85,T2B0000028,640901000
12,-43.24,T2B0000028,640901011
12,-28.92,T2B0000028,640901012
12,-13.509999999999991,T2B0000028,640901013
12,354.12,T2B0000028,641601000
12,-84,T2B0000028,660304004
12,-572.9000000000001,T2B0000028,660801000
12,-10.25,T2B0000028,661201000
12,-14.35,T2B0000028,661202000
12,-271.43,T2B0000028,661402000
12,-17.339999999999996,T2B0000028,662208000
12,-8.48,T2B0000028,662212000
12,-4.96,T2B0000028,662213000
12,-14.45,T2B0000028,663701000
12,-7.59,T2B0000028,663903000
12,-92.79,T2B0000028,664001000
12,-0.42,T2B0000028,664101000
12,-7.79,T2B0000028,664104000
12,-67,T2B0000028,710516000
12,-48.37,T2B0000029,610501000
12,-870.35,T2B0000029,611601000
12,-1.55,T2B0000029,613101000
12,-4350.02,T2B0000029,640301000
12,353.89000000000016,T2B0000029,640302000
12,-600,T2B0000029,640304000
12,-110.00999999999999,T2B0000029,640312000
12,-1757.6800000000003,T2B0000029,640901000
12,-38.010000000000005,T2B0000029,640901011
12,-14.46,T2B0000029,640901012
12,124.56999999999971,T2B0000029,640901013
12,-211.48000000000002,T2B0000029,641601000
12,-562.52,T2B0000029,660801000
12,-10.25,T2B0000029,661201000
12,-14.35,T2B0000029,661202000
12,-271.43,T2B0000029,661402000
12,-3.0299999999999994,T2B0000029,662208000
12,-8.48,T2B0000029,662212000
12,-50.4,T2B0000029,662213000
12,-21.970000000000002,T2B0000029,663701000
12,-127.57000000000001,T2B0000029,664001000
